,Target Name,Reference Name,Closer to reference by n metrics mean
0,cut,grasp,6.0
1,cut,mix,5.0
2,cut,pour,6.0
3,cut,transport,6.0
4,cut,wipe,6.0
5,grasp,cut,0.0
6,grasp,mix,0.0
7,grasp,pour,2.0
8,grasp,transport,5.0
9,grasp,wipe,2.0
10,mix,cut,3.0
11,mix,grasp,6.0
12,mix,pour,6.0
13,mix,transport,6.0
14,mix,wipe,4.0
15,pour,cut,1.0
16,pour,grasp,6.0
17,pour,mix,0.0
18,pour,transport,4.0
19,pour,wipe,0.0
20,transport,cut,0.0
21,transport,grasp,5.0
22,transport,mix,0.0
23,transport,pour,0.0
24,transport,wipe,0.0
25,wipe,cut,6.0
26,wipe,grasp,6.0
27,wipe,mix,5.0
28,wipe,pour,4.0
29,wipe,transport,6.0
