,Target Name,Reference Name,Wu-Palmer Similarity,Cosine Similarity GloVe,Sensorimotor Distance,Same Author
0,cut,grasp,0.2857142857142857,0.2895176410675049,0.03525692999722,0
1,cut,mix,0.25,0.4997043311595917,0.109528619762167,1
2,cut,pour,0.25,0.4216914474964142,0.114930661927044,0
3,cut,transport,0.2857142857142857,0.3821512460708618,0.129151640998679,0
4,cut,wipe,0.25,0.5698565244674683,0.0474496278730763,0
5,grasp,cut,0.2857142857142857,0.2895176410675049,0.03525692999722,0
6,grasp,mix,0.2857142857142857,0.3164008855819702,0.115841800864983,0
7,grasp,pour,0.2857142857142857,0.11332390457391739,0.108187070094773,0
8,grasp,transport,0.3333333333333333,0.0022678151726722717,0.221239749804292,1
9,grasp,wipe,0.2857142857142857,0.40040314197540283,0.0252309407119301,0
10,mix,cut,0.25,0.4997043311595917,0.109528619762167,1
11,mix,grasp,0.2857142857142857,0.3164008855819702,0.115841800864983,0
12,mix,pour,0.25,0.5275924205780029,0.0289808847879148,0
13,mix,transport,0.2857142857142857,0.24926528334617615,0.200074827676971,0
14,mix,wipe,0.25,0.348373144865036,0.0918667638819958,0
15,pour,cut,0.25,0.4216914474964142,0.114930661927044,0
16,pour,grasp,0.2857142857142857,0.11332390457391739,0.108187070094773,0
17,pour,mix,0.25,0.5275924205780029,0.0289808847879148,0
18,pour,transport,0.2857142857142857,0.23443570733070374,0.186532698516389,0
19,pour,wipe,0.25,0.509205162525177,0.0970422225532095,1
20,transport,cut,0.2857142857142857,0.3821512460708618,0.129151640998679,0
21,transport,grasp,0.3333333333333333,0.0022678151726722717,0.221239749804292,1
22,transport,mix,0.2857142857142857,0.24926528334617615,0.200074827676971,0
23,transport,pour,0.2857142857142857,0.23443570733070374,0.186532698516389,0
24,transport,wipe,0.2857142857142857,0.050278060138225555,0.212525560259133,0
25,wipe,cut,0.25,0.5698565244674683,0.0474496278730763,0
26,wipe,grasp,0.2857142857142857,0.40040314197540283,0.0252309407119301,0
27,wipe,mix,0.25,0.348373144865036,0.0918667638819958,0
28,wipe,pour,0.25,0.509205162525177,0.0970422225532095,1
29,wipe,transport,0.2857142857142857,0.050278060138225555,0.212525560259133,0
