Target Action,Reference Action,Model,Run,Compiles?
Close,Halve,gpt-3.5-turbo-0301,1,Yes
Close,Halve,gpt-3.5-turbo-0301,2,Yes
Close,Halve,gpt-3.5-turbo-0301,3,Yes
Close,Halve,gpt-3.5-turbo-0301,4,Yes
Close,Halve,gpt-3.5-turbo-0301,5,Yes
Close,Halve,gpt-3.5-turbo-0613,1,No
Close,Halve,gpt-3.5-turbo-0613,2,No
Close,Halve,gpt-3.5-turbo-0613,3,No
Close,Halve,gpt-3.5-turbo-0613,4,No
Close,Halve,gpt-3.5-turbo-0613,5,No
Close,Halve,gpt-4-0613,1,No
Close,Halve,gpt-4-0613,2,Yes
Close,Halve,gpt-4-0613,3,Yes
Close,Halve,gpt-4-0613,4,Yes
Close,Halve,gpt-4-0613,5,Yes
Close,Hold,gpt-3.5-turbo-0301,1,No
Close,Hold,gpt-3.5-turbo-0301,2,No
Close,Hold,gpt-3.5-turbo-0301,3,No
Close,Hold,gpt-3.5-turbo-0301,4,No
Close,Hold,gpt-3.5-turbo-0301,5,No
Close,Hold,gpt-3.5-turbo-0613,1,No
Close,Hold,gpt-3.5-turbo-0613,2,No
Close,Hold,gpt-3.5-turbo-0613,3,No
Close,Hold,gpt-3.5-turbo-0613,4,No
Close,Hold,gpt-3.5-turbo-0613,5,No
Close,Hold,gpt-4-0613,1,No
Close,Hold,gpt-4-0613,2,No
Close,Hold,gpt-4-0613,3,No
Close,Hold,gpt-4-0613,4,No
Close,Hold,gpt-4-0613,5,No
Close,Open,gpt-3.5-turbo-0301,1,No
Close,Open,gpt-3.5-turbo-0301,2,No
Close,Open,gpt-3.5-turbo-0301,3,No
Close,Open,gpt-3.5-turbo-0301,4,No
Close,Open,gpt-3.5-turbo-0301,5,No
Close,Open,gpt-3.5-turbo-0613,1,No
Close,Open,gpt-3.5-turbo-0613,2,No
Close,Open,gpt-3.5-turbo-0613,3,No
Close,Open,gpt-3.5-turbo-0613,4,No
Close,Open,gpt-3.5-turbo-0613,5,No
Close,Open,gpt-4-0613,1,No
Close,Open,gpt-4-0613,2,No
Close,Open,gpt-4-0613,3,No
Close,Open,gpt-4-0613,4,No
Close,Open,gpt-4-0613,5,No
Close,Pick-Up,gpt-3.5-turbo-0301,1,No
Close,Pick-Up,gpt-3.5-turbo-0301,2,No
Close,Pick-Up,gpt-3.5-turbo-0301,3,No
Close,Pick-Up,gpt-3.5-turbo-0301,4,No
Close,Pick-Up,gpt-3.5-turbo-0301,5,No
Close,Pick-Up,gpt-3.5-turbo-0613,1,No
Close,Pick-Up,gpt-3.5-turbo-0613,2,No
Close,Pick-Up,gpt-3.5-turbo-0613,3,No
Close,Pick-Up,gpt-3.5-turbo-0613,4,No
Close,Pick-Up,gpt-3.5-turbo-0613,5,No
Close,Pick-Up,gpt-4-0613,1,No
Close,Pick-Up,gpt-4-0613,2,No
Close,Pick-Up,gpt-4-0613,3,No
Close,Pick-Up,gpt-4-0613,4,No
Close,Pick-Up,gpt-4-0613,5,No
Close,Place-Down,gpt-3.5-turbo-0301,1,No
Close,Place-Down,gpt-3.5-turbo-0301,2,No
Close,Place-Down,gpt-3.5-turbo-0301,3,No
Close,Place-Down,gpt-3.5-turbo-0301,4,No
Close,Place-Down,gpt-3.5-turbo-0301,5,No
Close,Place-Down,gpt-3.5-turbo-0613,1,No
Close,Place-Down,gpt-3.5-turbo-0613,2,No
Close,Place-Down,gpt-3.5-turbo-0613,3,No
Close,Place-Down,gpt-3.5-turbo-0613,4,Yes
Close,Place-Down,gpt-3.5-turbo-0613,5,No
Close,Place-Down,gpt-4-0613,1,No
Close,Place-Down,gpt-4-0613,2,No
Close,Place-Down,gpt-4-0613,3,No
Close,Place-Down,gpt-4-0613,4,No
Close,Place-Down,gpt-4-0613,5,No
Close,Pour,gpt-3.5-turbo-0301,1,Yes
Close,Pour,gpt-3.5-turbo-0301,2,Yes
Close,Pour,gpt-3.5-turbo-0301,3,Yes
Close,Pour,gpt-3.5-turbo-0301,4,Yes
Close,Pour,gpt-3.5-turbo-0301,5,Yes
Close,Pour,gpt-3.5-turbo-0613,1,No
Close,Pour,gpt-3.5-turbo-0613,2,No
Close,Pour,gpt-3.5-turbo-0613,3,No
Close,Pour,gpt-3.5-turbo-0613,4,No
Close,Pour,gpt-3.5-turbo-0613,5,No
Close,Pour,gpt-4-0613,1,Yes
Close,Pour,gpt-4-0613,2,Yes
Close,Pour,gpt-4-0613,3,Yes
Close,Pour,gpt-4-0613,4,Yes
Close,Pour,gpt-4-0613,5,Yes
Close,Slice,gpt-3.5-turbo-0301,1,Yes
Close,Slice,gpt-3.5-turbo-0301,2,Yes
Close,Slice,gpt-3.5-turbo-0301,3,Yes
Close,Slice,gpt-3.5-turbo-0301,4,Yes
Close,Slice,gpt-3.5-turbo-0301,5,Yes
Close,Slice,gpt-3.5-turbo-0613,1,No
Close,Slice,gpt-3.5-turbo-0613,2,No
Close,Slice,gpt-3.5-turbo-0613,3,No
Close,Slice,gpt-3.5-turbo-0613,4,No
Close,Slice,gpt-3.5-turbo-0613,5,No
Close,Slice,gpt-4-0613,1,No
Close,Slice,gpt-4-0613,2,Yes
Close,Slice,gpt-4-0613,3,Yes
Close,Slice,gpt-4-0613,4,Yes
Close,Slice,gpt-4-0613,5,Yes
Close,Wipe,gpt-3.5-turbo-0301,1,Yes
Close,Wipe,gpt-3.5-turbo-0301,2,Yes
Close,Wipe,gpt-3.5-turbo-0301,3,Yes
Close,Wipe,gpt-3.5-turbo-0301,4,Yes
Close,Wipe,gpt-3.5-turbo-0301,5,Yes
Close,Wipe,gpt-3.5-turbo-0613,1,Yes
Close,Wipe,gpt-3.5-turbo-0613,2,Yes
Close,Wipe,gpt-3.5-turbo-0613,3,Yes
Close,Wipe,gpt-3.5-turbo-0613,4,Yes
Close,Wipe,gpt-3.5-turbo-0613,5,Yes
Close,Wipe,gpt-4-0613,1,Yes
Close,Wipe,gpt-4-0613,2,Yes
Close,Wipe,gpt-4-0613,3,Yes
Close,Wipe,gpt-4-0613,4,Yes
Close,Wipe,gpt-4-0613,5,Yes
Halve,Close,gpt-3.5-turbo-0301,1,No
Halve,Close,gpt-3.5-turbo-0301,2,No
Halve,Close,gpt-3.5-turbo-0301,3,No
Halve,Close,gpt-3.5-turbo-0301,4,No
Halve,Close,gpt-3.5-turbo-0301,5,No
Halve,Close,gpt-3.5-turbo-0613,1,No
Halve,Close,gpt-3.5-turbo-0613,2,No
Halve,Close,gpt-3.5-turbo-0613,3,No
Halve,Close,gpt-3.5-turbo-0613,4,No
Halve,Close,gpt-3.5-turbo-0613,5,No
Halve,Close,gpt-4-0613,1,No
Halve,Close,gpt-4-0613,2,No
Halve,Close,gpt-4-0613,3,No
Halve,Close,gpt-4-0613,4,No
Halve,Close,gpt-4-0613,5,No
Halve,Hold,gpt-3.5-turbo-0301,1,No
Halve,Hold,gpt-3.5-turbo-0301,2,No
Halve,Hold,gpt-3.5-turbo-0301,3,No
Halve,Hold,gpt-3.5-turbo-0301,4,No
Halve,Hold,gpt-3.5-turbo-0301,5,No
Halve,Hold,gpt-3.5-turbo-0613,1,No
Halve,Hold,gpt-3.5-turbo-0613,2,No
Halve,Hold,gpt-3.5-turbo-0613,3,No
Halve,Hold,gpt-3.5-turbo-0613,4,No
Halve,Hold,gpt-3.5-turbo-0613,5,No
Halve,Hold,gpt-4-0613,1,No
Halve,Hold,gpt-4-0613,2,No
Halve,Hold,gpt-4-0613,3,No
Halve,Hold,gpt-4-0613,4,No
Halve,Hold,gpt-4-0613,5,No
Halve,Open,gpt-3.5-turbo-0301,1,No
Halve,Open,gpt-3.5-turbo-0301,2,No
Halve,Open,gpt-3.5-turbo-0301,3,No
Halve,Open,gpt-3.5-turbo-0301,4,No
Halve,Open,gpt-3.5-turbo-0301,5,No
Halve,Open,gpt-3.5-turbo-0613,1,No
Halve,Open,gpt-3.5-turbo-0613,2,No
Halve,Open,gpt-3.5-turbo-0613,3,No
Halve,Open,gpt-3.5-turbo-0613,4,No
Halve,Open,gpt-3.5-turbo-0613,5,No
