,Target Name,Reference Name,run,Closer to reference by n metrics
0,cut,grasp,1,6
1,cut,mix,1,5
2,cut,pour,1,6
3,cut,transport,1,6
4,cut,wipe,1,4
5,grasp,cut,1,0
6,grasp,mix,1,0
7,grasp,pour,1,0
8,grasp,transport,1,0
9,grasp,wipe,1,0
10,mix,cut,1,0
11,mix,grasp,1,6
12,mix,pour,1,6
13,mix,transport,1,6
14,mix,wipe,1,4
15,pour,cut,1,0
16,pour,grasp,1,4
17,pour,mix,1,0
18,pour,transport,1,1
19,pour,wipe,1,0
20,transport,cut,1,0
21,transport,grasp,1,5
22,transport,mix,1,0
23,transport,pour,1,0
24,transport,wipe,1,0
25,wipe,cut,1,0
26,wipe,grasp,1,6
27,wipe,mix,1,0
28,wipe,pour,1,2
29,wipe,transport,1,5
30,cut,grasp,2,6
31,cut,mix,2,5
32,cut,pour,2,6
33,cut,transport,2,6
34,cut,wipe,2,0
35,grasp,cut,2,0
36,grasp,mix,2,0
37,grasp,pour,2,0
38,grasp,transport,2,0
39,grasp,wipe,2,0
40,mix,cut,2,0
41,mix,grasp,2,6
42,mix,pour,2,6
43,mix,transport,2,6
44,mix,wipe,2,4
45,pour,cut,2,0
46,pour,grasp,2,4
47,pour,mix,2,0
48,pour,transport,2,1
49,pour,wipe,2,0
50,transport,cut,2,0
51,transport,grasp,2,5
52,transport,mix,2,0
53,transport,pour,2,0
54,transport,wipe,2,0
55,wipe,cut,2,0
56,wipe,grasp,2,6
57,wipe,mix,2,5
58,wipe,pour,2,2
59,wipe,transport,2,4
60,cut,grasp,3,6
61,cut,mix,3,5
62,cut,pour,3,6
63,cut,transport,3,6
64,cut,wipe,3,3
65,grasp,cut,3,0
66,grasp,mix,3,0
67,grasp,pour,3,0
68,grasp,transport,3,4
69,grasp,wipe,3,0
70,mix,cut,3,0
71,mix,grasp,3,6
72,mix,pour,3,6
73,mix,transport,3,6
74,mix,wipe,3,6
75,pour,cut,3,0
76,pour,grasp,3,4
77,pour,mix,3,0
78,pour,transport,3,1
79,pour,wipe,3,0
80,transport,cut,3,0
81,transport,grasp,3,5
82,transport,mix,3,0
83,transport,pour,3,0
84,transport,wipe,3,0
85,wipe,cut,3,0
86,wipe,grasp,3,6
87,wipe,mix,3,3
88,wipe,pour,3,1
89,wipe,transport,3,4
90,cut,grasp,4,6
91,cut,mix,4,6
92,cut,pour,4,6
93,cut,transport,4,6
94,cut,wipe,4,0
95,grasp,cut,4,0
96,grasp,mix,4,0
97,grasp,pour,4,1
98,grasp,transport,4,0
99,grasp,wipe,4,0
100,mix,cut,4,0
101,mix,grasp,4,6
102,mix,pour,4,6
103,mix,transport,4,6
104,mix,wipe,4,6
105,pour,cut,4,0
106,pour,grasp,4,4
107,pour,mix,4,0
108,pour,transport,4,1
109,pour,wipe,4,0
110,transport,cut,4,0
111,transport,grasp,4,5
112,transport,mix,4,0
113,transport,pour,4,0
114,transport,wipe,4,0
115,wipe,cut,4,0
116,wipe,grasp,4,6
117,wipe,mix,4,4
118,wipe,pour,4,1
119,wipe,transport,4,4
120,cut,grasp,5,6
121,cut,mix,5,5
122,cut,pour,5,6
123,cut,transport,5,6
124,cut,wipe,5,0
125,grasp,cut,5,0
126,grasp,mix,5,0
127,grasp,pour,5,0
128,grasp,transport,5,0
129,grasp,wipe,5,0
130,mix,cut,5,0
131,mix,grasp,5,6
132,mix,pour,5,6
133,mix,transport,5,6
134,mix,wipe,5,4
135,pour,cut,5,0
136,pour,grasp,5,4
137,pour,mix,5,0
138,pour,transport,5,1
139,pour,wipe,5,0
140,transport,cut,5,0
141,transport,grasp,5,5
142,transport,mix,5,0
143,transport,pour,5,0
144,transport,wipe,5,0
145,wipe,cut,5,0
146,wipe,grasp,5,6
147,wipe,mix,5,0
148,wipe,pour,5,2
149,wipe,transport,5,5
